Locality,Aggregate rating,restaurant_count
Golf Course,0.0,1
Golf Course Road,3.56,27
Golpark,4.2,1
Gomti Nagar,4.12,12
Gopalapuram,4.2,1
"Gourmet Hub, Pashim Vihar",3.4,1
"Grand Hotel, MG Road",4.2,1
"Grand Indonesia Mall, Thamrin",4.35,2
Greater Kailash (GK) 1,3.7,66
Greater Kailash (GK) 2,3.55,66
Greater Kailash (GK) 3,3.42,5
Greater Noida,1.86,38
Greater South Side,4.1,1
Green Park,2.43,46
Green Point,3.73,3
"Greenlyn Village, Menlopark, Near Lynnwood",4.4,1
Greenside,4.3,1
Grovetown,4.2,1
Gujranwala Town,2.02,39
Gulmohar Colony,3.8,1
Gurdev Nagar,3.9,3
Gurukul,4.05,2
G��vea,4.9,1
HIG-LIG,4.1,1
"Haji Lane, Rochor",4.2,1
Halwan Suburb,3.8,1
Hamilton,4.4,1
Hampankatta,3.6,1
Handsworth,3.6,1
Harborne,4.2,1
Harmu,3.45,2
"Harsha Mall, Greater Noida",2.9,3
Hathi Gate,4.0,1
Hathibarkala Salwala,4.0,3
Hauz Khas,2.51,74
Hauz Khas Village,3.85,24
"Havelock Town, Colombo 05",4.15,2
Haymarket,4.5,1
Hazratganj,4.17,3
Helen,3.48,4
Henderson,4.5,1
Hepburn Springs,3.8,2
Heritage Town,3.7,1
"Hill Road, Bandra West",4.1,1
"Hillcrest, Bukit Timah",4.1,1
Hindpiri,3.57,3
Hitech City,4.3,2
Holiday Inn Express & Suites,4.3,1
"Holiday Inn Jaipur City Centre, Bais Godam",4.4,2
"Holiday Inn, Aerocity",3.3,1
"Holiday Inn, Mayur Vihar",3.55,2
"Hong Kong Bazaar Mall, Sector 57, Gurgaon",3.0,3
"Hotel Broadway, Daryaganj",3.65,2
"Hotel Capitol Hill, Hindpiri",3.7,1
"Hotel City Park, Pitampura",3.35,2
"Hotel Clark Inn, Sector 15",1.4,2
"Hotel Clarks Amer, Malviya Nagar",4.9,1
"Hotel Classic Diplomat, Mahipalpur",0.0,2
"Hotel De Pondicherry, White Town",3.5,1
"Hotel Express Towers, Alkapuri",4.0,1
"Hotel Golf View, Sector 37, Noida",1.0,3
"Hotel Green Olive, Nirala Bazar",3.6,1
"Hotel GreenPark, Vizag",4.4,1
"Hotel Grenville, MG Road",1.4,2
"Hotel Haute.Monde, Sector 15",2.8,2
"Hotel Intercontinental Doha, Westbay",3.7,1
"Hotel Maurya, Lodipur",3.7,1
"Hotel Novotel, Maharani Peta",4.1,1
"Hotel Regent Grand, Karol Bagh",1.5,2
Hotel Royal Cliff,4.0,1
"Hotel Saffron Kiran, Faridabad",0.0,3
"Hotel Shangri-La, Sudirman",4.6,1
"Hotel The Royal Plaza, Janpath",3.42,6
"Hotel Unique, Jardim Paulista",4.8,1
"Huda City Centre Metro Station, Sector 29, Gurgaon",3.56,7
Huskisson,4.1,1
Hyatt Place Gurgaon,1.9,2
"Hyatt Regency, Bhikaji Cama Place",3.8,6
"Hyatt Regency, Rajguru Nagar",4.3,1
Hyde Park,4.26,5
I-Drive/Universal,4.47,4
"IBIS Hotel, Golf Course Road",2.7,1
IIT Kanpur,3.5,1
INA,2.4,4
INA Colony,3.5,3
IP Extension,1.82,47
"ITC Maurya, Chanakyapuri",3.73,6
"ITC Mughal, Tajganj",4.15,2
ITO,3.25,4
Illovo,4.2,1
